Measure,Year,Age group,Male,Female,ALL
Crude incidence per 100k,2023,0 - 19,0,0,0
Crude incidence per 100k,2023,20-24,0,0,0
Crude incidence per 100k,2023,25-29,0,0,0
Crude incidence per 100k,2023,30-34,0.15,0.162,0.155
Crude incidence per 100k,2023,35-39,0.587,0.157,0.38
Crude incidence per 100k,2023,40-44,1.818,0.655,1.259
Crude incidence per 100k,2023,45-49,3.715,2.933,3.34
Crude incidence per 100k,2023,50-54,10.116,5.626,7.938
Crude incidence per 100k,2023,55-59,24.075,13.347,18.815
Crude incidence per 100k,2023,60-64,47.737,29.08,38.509
Crude incidence per 100k,2023,65-69,91.6,43.926,67.471
Crude incidence per 100k,2023,70-74,168.798,89.759,127.819
Crude incidence per 100k,2023,75-79,286.976,120.74,198.622
Crude incidence per 100k,2023,80-84,331.703,153.047,232.639
Crude incidence per 100k,2023,85-89,343.997,125.258,215.749
Crude incidence per 100k,2023,90-94,168.297,63.789,102.076
Crude incidence per 100k,2023,95+,69.947,28.201,41.293
Crude incidence per 100k,2023,TOTAL ,41.916,22.932,32.526
Crude incidence per 100k,2022,0 - 19,0,0,0
Crude incidence per 100k,2022,20-24,0,0.2,0.1
Crude incidence per 100k,2022,25-29,0,0.4,0.2
Crude incidence per 100k,2022,30-34,0,0,0
Crude incidence per 100k,2022,35-39,0.4,0.3,0.4
Crude incidence per 100k,2022,40-44,1.4,2.3,1.8
Crude incidence per 100k,2022,45-49,3.4,2.9,3.2
Crude incidence per 100k,2022,50-54,12.9,6.8,9.9
Crude incidence per 100k,2022,55-59,19.3,10.4,14.9
Crude incidence per 100k,2022,60-64,43.5,30.8,37.2
Crude incidence per 100k,2022,65-69,79.8,48.4,63.9
Crude incidence per 100k,2022,70-74,163.7,75.5,117.9
Crude incidence per 100k,2022,75-79,259,130.3,190.5
Crude incidence per 100k,2022,80-84,313.6,131.7,212.4
Crude incidence per 100k,2022,85-89,313.6,130.9,206.2
Crude incidence per 100k,2022,90-94,227.3,68.6,126.3
Crude incidence per 100k,2022,95+,38.6,7.7,17.2
Crude incidence per 100k,2022,TOTAL ,38.8,22.4,30.7
Crude incidence per 100k,2021,0 - 19,0,0,0
Crude incidence per 100k,2021,20-24,0.2,0,0.1
Crude incidence per 100k,2021,25-29,0,0,0
Crude incidence per 100k,2021,30-34,0,0.2,0.1
Crude incidence per 100k,2021,35-39,0.2,0,0.1
Crude incidence per 100k,2021,40-44,2.5,1.3,1.9
Crude incidence per 100k,2021,45-49,3.9,4,4
Crude incidence per 100k,2021,50-54,8.1,6.1,7.1
Crude incidence per 100k,2021,55-59,19.9,10.5,15.3
Crude incidence per 100k,2021,60-64,45.9,24.8,35.5
Crude incidence per 100k,2021,65-69,83.7,49.4,66.3
Crude incidence per 100k,2021,70-74,150.8,88.2,118.2
Crude incidence per 100k,2021,75-79,209.8,117.6,160.6
Crude incidence per 100k,2021,80-84,262.3,118.3,182
Crude incidence per 100k,2021,85-89,245.5,107.2,164
Crude incidence per 100k,2021,90-94,177.7,59.3,101.8
Crude incidence per 100k,2021,95+,43.4,30.2,34.2
Crude incidence per 100k,2021,TOTAL ,34,21.1,27.6
Crude incidence per 100k,2020,0 - 19,0,0,0
Crude incidence per 100k,2020,20-24,0,0.2,0.1
Crude incidence per 100k,2020,25-29,0.2,0.3,0.2
Crude incidence per 100k,2020,30-34,0,0.6,0.3
Crude incidence per 100k,2020,35-39,0.9,0.3,0.6
Crude incidence per 100k,2020,40-44,1.4,1,1.2
Crude incidence per 100k,2020,45-49,3.1,4,3.5
Crude incidence per 100k,2020,50-54,7.2,7.3,7.3
Crude incidence per 100k,2020,55-59,19.5,11.4,15.5
Crude incidence per 100k,2020,60-64,39.9,23.7,31.9
Crude incidence per 100k,2020,65-69,82.7,40.3,61.2
Crude incidence per 100k,2020,70-74,136.7,70.3,102.2
Crude incidence per 100k,2020,75-79,212.7,107.6,156.6
Crude incidence per 100k,2020,80-84,299.6,150.7,216.6
Crude incidence per 100k,2020,85-89,342,154.4,230.9
Crude incidence per 100k,2020,90-94,304.7,121.8,186.8
Crude incidence per 100k,2020,95+,85.6,44.9,56.9
Crude incidence per 100k,2020,TOTAL ,35.5,21.9,28.7
Crude incidence per 100k,2019,0 - 19,0,0,0
Crude incidence per 100k,2019,20-24,0,0.4,0.2
Crude incidence per 100k,2019,25-29,0.2,0.5,0.3
Crude incidence per 100k,2019,30-34,0.6,0.9,0.8
Crude incidence per 100k,2019,35-39,1.2,0.6,0.9
Crude incidence per 100k,2019,40-44,2.4,1.7,2
Crude incidence per 100k,2019,45-49,6.3,2.5,4.5
Crude incidence per 100k,2019,50-54,12.6,6.9,9.8
Crude incidence per 100k,2019,55-59,28.6,16.9,22.9
Crude incidence per 100k,2019,60-64,55.1,27,41.2
Crude incidence per 100k,2019,65-69,87.3,58.7,72.8
Crude incidence per 100k,2019,70-74,178.3,97.6,136.3
Crude incidence per 100k,2019,75-79,289.5,169,225.1
