Measure,Year,Age group,Male,Female,ALL
Crude prevalence per 100k,2023,0 - 19,0,0,0
Crude prevalence per 100k,2023,20-24,0.53,0.7,0.6
Crude prevalence per 100k,2023,25-29,2.79,2.3,2.6
Crude prevalence per 100k,2023,30-34,9.13,3.8,6.5
Crude prevalence per 100k,2023,35-39,8.22,5.3,6.8
Crude prevalence per 100k,2023,40-44,17.54,8.2,13.1
Crude prevalence per 100k,2023,45-49,38.15,20.7,29.8
Crude prevalence per 100k,2023,50-54,75.35,41.2,58.8
Crude prevalence per 100k,2023,55-59,152.27,79.8,116.8
Crude prevalence per 100k,2023,60-64,304.8,169.3,237.9
Crude prevalence per 100k,2023,65-69,580.73,322.6,450.5
Crude prevalence per 100k,2023,70-74,1008.28,571.7,782.7
Crude prevalence per 100k,2023,75-79,1539.39,866,1182
Crude prevalence per 100k,2023,80-84,1983.4,1234.5,1567.7
Crude prevalence per 100k,2023,85-89,2192.71,1297.1,1664
Crude prevalence per 100k,2023,90-94,2059.55,1061.3,1417.3
Crude prevalence per 100k,2023,95+,1902.13,687.3,1025
Crude prevalence per 100k,2023,TOTAL ,245.36,168,207.1
Crude prevalence per 100k,2022,0 - 19,0,0,0
Crude prevalence per 100k,2022,20-24,1.4,0.2,0.8
Crude prevalence per 100k,2022,25-29,3.5,3.8,3.6
Crude prevalence per 100k,2022,30-34,6,5.8,5.9
Crude prevalence per 100k,2022,35-39,7.6,7.5,7.6
Crude prevalence per 100k,2022,40-44,17.8,11.9,15
Crude prevalence per 100k,2022,45-49,40.8,30,35.6
Crude prevalence per 100k,2022,50-54,83.1,47.3,65.7
Crude prevalence per 100k,2022,55-59,174.2,100.8,138.3
Crude prevalence per 100k,2022,60-64,344.4,181.7,264.2
Crude prevalence per 100k,2022,65-69,637.6,365.2,500.2
Crude prevalence per 100k,2022,70-74,1155.5,654.8,896.5
Crude prevalence per 100k,2022,75-79,1483.4,909.1,1178.3
Crude prevalence per 100k,2022,80-84,1920.9,1173.6,1504.3
Crude prevalence per 100k,2022,85-89,1953.2,1217.5,1517.8
Crude prevalence per 100k,2022,90-94,1580.2,928.7,1159.2
Crude prevalence per 100k,2022,95+,1359.6,650.4,845.2
Crude prevalence per 100k,2022,TOTAL ,248.1,174.7,211.8
Crude prevalence per 100k,2021,0 - 19,0,0,0
Crude prevalence per 100k,2021,20-24,1.6,0.2,0.9
Crude prevalence per 100k,2021,25-29,2.9,4.1,3.5
Crude prevalence per 100k,2021,30-34,4,5.9,4.9
Crude prevalence per 100k,2021,35-39,8.5,6.8,7.7
Crude prevalence per 100k,2021,40-44,14.6,12.2,13.4
Crude prevalence per 100k,2021,45-49,36.9,25.7,31.5
Crude prevalence per 100k,2021,50-54,68.8,42.3,55.9
Crude prevalence per 100k,2021,55-59,157.2,94.4,126.4
Crude prevalence per 100k,2021,60-64,317.2,164.4,241.8
Crude prevalence per 100k,2021,65-69,609.7,332.7,469.6
Crude prevalence per 100k,2021,70-74,1046.8,583.3,806.8
Crude prevalence per 100k,2021,75-79,1560.9,937.2,1229.2
Crude prevalence per 100k,2021,80-84,2128,1262.3,1644.4
Crude prevalence per 100k,2021,85-89,2306.2,1405.5,1772.2
